,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,icon,id,name,opening_hours.open_now,photos,place_id,plus_code.compound_code,plus_code.global_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity
0,53.5478992,9.9870512,53.54922382989272,9.98828882989272,53.54652417010728,9.985589170107277,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,b0d96b4ded852f083c44f06b363b3305205b4af0,Rödings Döner,False,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114134215830018677500/photos"">Andrej Kopin</a>'], 'photo_reference': 'CmRaAAAAOveLnvuULQFOXHv-40I7rtgDulUmyBfBT6DOjtENBF7dxD-9sH06sSXb_R2OX-8_vbREdPcfVl5haJmOWfRx-RJU7v3b91zclI2V-mn5IgBtWtHA3opQ3KjrEJgYBYIaEhBJDjyoVJXqHn1cPyxFogIqGhT2xukkObvjD_d85v8t0KDv0BLzNA', 'width': 4032}]",ChIJ48OqLAWPsUcRJDUGU5KIKhk,"GXXP+5R Hamburg, Germany",9F5FGXXP+5R,1.0,3.9,ChIJ48OqLAWPsUcRJDUGU5KIKhk,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",111,"Rödingsmarkt 11, Hamburg"
1,53.5515601,9.9965476,53.55290992989272,9.99789742989272,53.55021027010728,9.995197770107277,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,24dd3b3ff6fe08f042dd806bb293042cff170ff1,Saray döner,False,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105412167562531129480/photos"">Sabrina Bouhaddi</a>'], 'photo_reference': 'CmRaAAAAqmQvq0rBI0POY-RwFRZdHEEJqN9nimTN3IqLh1nAeus2qqt2je_eWkqrrdEBTOnEpBMQKd_Gnc3AjIEsP1i4H0u3GI0LHIck1Dmqy8XsOfNVXE3Gb7Bu7CxUlu3CpfE9EhAkA2XbE-CnIqSjN_OLNHaMGhR6_g239R6W_F6S_GGz8OFaqQUbcQ', 'width': 4032}]",ChIJD0xjNxyPsUcR-WzRWaOEN6c,"HX2W+JJ Hamburg, Germany",9F5FHX2W+JJ,,1.6,ChIJD0xjNxyPsUcR-WzRWaOEN6c,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",45,"Ballindamm 40, Hamburg"
2,53.54921,9.96192,53.55060677989272,9.963222379892724,53.54790712010728,9.96052272010728,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,53bb51e4a1f2c2cd19b30d89b685a50a1693224f,Döner Company,True,"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106128590044160491259/photos"">pedro antonio Folco Martinez</a>'], 'photo_reference': 'CmRaAAAAdLp128D6ZJ1T8XalOlozy9b9nDDj9haGEtGXBbM85KjcOoEcSjRXNoPhc3OPbXuDg4GwmE8WRolRAg-DbyrBWiTNGIhzs-hUAcNcL4hlASZpZB9eJ_AuXzN5qahZtU9EEhDdJrNajRhQaDR71ukZCLYmGhRte787zC4u5RjZkqspCI8zxA3RQQ', 'width': 4128}]",ChIJdazsHHKPsUcRNP6jH-Vdx7s,"GXX6+MQ Hamburg, Germany",9F5FGXX6+MQ,,3.6,ChIJdazsHHKPsUcRNP6jH-Vdx7s,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",356,"Reeperbahn 83, Hamburg"
3,53.5928707,9.9885998,53.59421802989272,9.989851229892722,53.59151837010727,9.987151570107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,7fbf87ddb589427e7a8b9436cdd2b149332ec7b2,Döner,False,"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115634495759667610983/photos"">Erkan Can</a>'], 'photo_reference': 'CmRaAAAAe1raqegnVy2_Jt8pXVagbUVVkEyj9WldeoAuuw8UZIe0kuB9Idb7Cc-Wced2JQQA8Wv5YC0okiqML0fQZYb4M5kJMqf2kUpKdjWGG_7sSxZ2Uibm-vEWD6w5pz0nybq-EhDx16fQNLIebzXzeP6FQ_AfGhQ2E1KnGQECGjjTX5lg1MwCZpgE0A', 'width': 3120}]",ChIJubn0tceIsUcR0RIIi34gSA8,"HXVQ+4C Hamburg, Germany",9F5FHXVQ+4C,,3.0,ChIJubn0tceIsUcR0RIIi34gSA8,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",25,"Eppendorfer Landstraße 112-120, Hamburg"
4,53.5616628,9.9486186,53.56304757989273,9.949834929892722,53.56034792010729,9.947135270107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,8e351fd0434965231f820296d8d74530323234d3,Euro Döner,True,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102488043089658473806/photos"">A Google User</a>'], 'photo_reference': 'CmRaAAAAavX2FIwnvooxytHcGYGiFeD7RV6LxAH1FYQkC79AyB8g2BfCfyj4MkQTVSy46UZWP7mJ_ukQi5cUMyTEK1ASjMkP8anL8WTiePNSR8AAB74dRBrjyWXIahXYychqRFgeEhB_pGyZWQ36TaqSflFci6QvGhTwFlnnR-_3LNwPmAgSlayTdt_xzQ', 'width': 1920}]",ChIJs6zzm2CPsUcRQUFsjRx2oas,"HW6X+MC Hamburg, Germany",9F5FHW6X+MC,,3.1,ChIJs6zzm2CPsUcRQUFsjRx2oas,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",98,"Holstenpl. 20, Hamburg"
5,53.550555,9.9616794,53.55190337989271,9.962832629892722,53.54920372010727,9.960132970107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,9ebb8b7ec94423e152f6b8f07984b53f9bb9232f,Lale4 - Döner Imbiß,,,ChIJmZOWBW6PsUcRQhAGT4-9M7A,"HX26+6M Hamburg, Germany",9F5FHX26+6M,,5.0,ChIJmZOWBW6PsUcRQhAGT4-9M7A,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",4,"Hamburger Berg 27, Hamburg"
6,53.54924,9.961120000000001,53.55063112989272,9.962358079892722,53.54793147010727,9.959658420107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,6395fb542b7bf47ea8359716e566656cb59b18e5,Holiday Döner,,"[{'height': 2176, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113674840632812279015/photos"">Dennis B</a>'], 'photo_reference': 'CmRaAAAA-_UbvRQbmNZfBwMBpWglunRSgbf5sS91w-jz2AzX1X-b7AlXIlFDOLnOL5S5LXKi4MaQWkhiDEAxwTTDEIvpImceMj_5Z6MipCw7qiN4aPa9Qz93bjXvMV_OzMhPqyxqEhC_YPLaE8tKELw113_sp02KGhRxCgUHFsKQD-GpEty5GdF2E7_eGw', 'width': 4608}]",ChIJI7i28HGPsUcRsPqEneRsoDA,"GXX6+MC Hamburg, Germany",9F5FGXX6+MC,2.0,3.1,ChIJI7i28HGPsUcRsPqEneRsoDA,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",71,"Reeperbahn 101, Hamburg"
7,53.5639118,9.9652429,53.56525562989272,9.966683679892721,53.56255597010727,9.963984020107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,25a6b6929276dc3f61f831b579c31b0482ffc4cb,Schanzen Döner,True,"[{'height': 4640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112808162587215564945/photos"">Ayla Yildiz</a>'], 'photo_reference': 'CmRaAAAA85_fDOJa8WvFkwxObnhR5qwsj2wq0U90TnAOOlgUqVZaYdZoxNsQZbBvbsBjaTR8DyJTN-vUxiVYwDkLfziItcpwuUrvxFyDFVOyh72akNxT4oxwH8o4fUe7Uoaf_ox_EhBPhrgfC63WICbon6Y2aILtGhQyP9Zb1dFe7IiZ-rB5bXRKPColaA', 'width': 3480}]",ChIJYwg0yEOPsUcRFH3JG2frvlg,"HX78+H3 Hamburg, Germany",9F5FHX78+H3,1.0,4.3,ChIJYwg0yEOPsUcRFH3JG2frvlg,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",96,"Schanzenstraße 101, Hamburg"
8,53.5333621,9.8767587,53.53475227989272,9.878116979892722,53.53205262010728,9.875417320107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,93f8268b68d2054577e84ba91e621a450fa3097a,Grill @ Döner,True,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112577149266545502167/photos"">Akif Sahin</a>'], 'photo_reference': 'CmRaAAAAcnSGLvZjo0BlGe5YX-u_jw860r4DAo4oG6Cy8k3p8SP8YSBZpSVw4U-CTNuPmRxuYv4ZYNikvkxCoL8blZUDSX7WQ-SXvQltFXE-wGD5TI_A2sBp6y6-Hex2WEyAJQEfEhA4V_c6qYQzF3EWq7vEGsntGhSlkkWN7iyA1GXalyhhpVizbnBTwg', 'width': 1080}]",ChIJl7lnHR2FsUcRscmaItClTe0,"GVMG+8P Hamburg, Germany",9F5FGVMG+8P,,3.7,ChIJl7lnHR2FsUcRscmaItClTe0,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",28,"Finkenwerder Norderdeich 94, Hamburg"
9,53.50613999999999,9.9926,53.50749902989272,9.993719879892723,53.50479937010727,9.991020220107279,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,629c9370c1291cf2f15b3bbd6c814bfab108d45a,Ada Döner,True,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108532272655518300394/photos"">A Google User</a>'], 'photo_reference': 'CmRaAAAAOpEzw6JerbIs_U2E_2a0NHhtH7O3nK6vTJNdr5H_lccvPwivIdwy6xwmK4g4knvVtQlNkYSKJ8FKNVX7MOtN766oZMXrmX5sxGSbZcWK1Zi-Xh9vilENFnUaGqyaZgtbEhD3HrNhxqnyay14YC66worXGhQqX3gm3XvkGMrtSaUVjOQ0A7R9HA', 'width': 4032}]",ChIJ_-mImDGOsUcRuTVdBad5ZmI,"GX4V+F2 Hamburg, Germany",9F5FGX4V+F2,2.0,4.0,ChIJ_-mImDGOsUcRuTVdBad5ZmI,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",34,"Georg-Wilhelm-Straße 104A, Hamburg"
10,53.58285,9.94825,53.58415442989272,9.949272379892722,53.58145477010728,9.946572720107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,588883b0b76407ef997dbb6324ed4b8c4a50415d,Döner Grillhaus,False,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109883000565733917233/photos"">Klaus Lademann</a>'], 'photo_reference': 'CmRaAAAAUJReaHES1CMz6advoH2jO3XUTs3S1JJfUExsvm9ho0li87cI3kgPTHXnKDooVSm5JdI33erdw3tOBjQtSLwHzWYgFLRZ3afC_jDvGdnJt-DO3IDeINAZ6Wvl4kCuvBVeEhA6AFf3DDqtfj5d4SAzJv97GhSQg1hW4tCuHyklNULVLQyCkLDcqw', 'width': 3984}]",ChIJVynfyP-FsUcRTggG1DY2wMg,"HWMX+48 Hamburg, Germany",9F5FHWMX+48,1.0,3.4,ChIJVynfyP-FsUcRTggG1DY2wMg,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",155,"Eidelstedter Weg 68, Hamburg"
11,53.567165,9.981213,53.56853652989272,9.982501779892722,53.56583687010728,9.979802120107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,cef32b427fa6ffe22bf152be71b7d7f5ab330f40,King Döner,False,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106863731939576050786/photos"">Albert Braun</a>'], 'photo_reference': 'CmRaAAAAxQEB6xDYU_H9O2DRvef0l_hc0M6GsdsZwdDvbUuuqHKaY-frLNZ1rLpZtLlk5u4f8CoJLLb8Gzc6AQNwUTSsOUet6j68MfWFU09MALD3sMYDnOLHgDzAH-wzoqXbW6gxEhBK1Qp37nBk-MGwe7jeSOnwGhR5T3SBM_YKe6Axcv1_tUWxkr2abg', 'width': 4032}]",ChIJ34WdDDmPsUcR76FhJo39PpI,"HX8J+VF Hamburg, Germany",9F5FHX8J+VF,1.0,4.0,ChIJ34WdDDmPsUcR76FhJo39PpI,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",30,"Grindelhof 2, Hamburg"
12,53.5522114,9.9305392,53.55361612989272,9.93180347989272,53.55091647010727,9.929103820107276,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,8dd62c745fd37455128fbf099c93d1d8e3c90606,Döner & Getränkewelt,True,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104548179353667207751/photos"">Maximus Chatsky</a>'], 'photo_reference': 'CmRaAAAASpquwbmJEsxJ5Tl1_806jcXGj21DuTq_elrEHjMlLMSZHWafCrPeziGoH4pHvA9cnXQUIJ1DV4XAVWVEiKe8jyL9pWt_xwapG3xSDU1yFvWN8JPBePf96Mluj4zMvz9yEhBjFGm7jP9J4vW4hxivL4QJGhS7kCOQhhaLDT3nZreKf8kteMFCYw', 'width': 3024}]",ChIJg_mcjIWFsUcRn0rOyVoEkXA,"HW2J+V6 Hamburg, Germany",9F5FHW2J+V6,,3.6,ChIJg_mcjIWFsUcRn0rOyVoEkXA,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",177,"Große Rainstraße 4, Hamburg"
13,53.552036,9.9417285,53.55329777989272,9.943071529892721,53.55059812010727,9.940371870107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,06c0bd94ca96f52d923c7f649562007f8bd06ce9,Ali Baba Döner & Grill,False,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117259006379814864128/photos"">A Google User</a>'], 'photo_reference': 'CmRaAAAAPDFagzvFRaAhDUIyyHpsie5yITZKRJPlhHmAG82S3jtRLoGcFECGduV988i_qsHidO-OUtFkQ2hZO9vnRiBAvEMjCWdMFsW2MpPRnffr5v8FXuh8_JYW0wmOCEQZSA_4EhDBZJX14-tZqAhHzb0_An1uGhQMNbm25vyO14IK7Ic6Q0IXa9qCKQ', 'width': 4032}]",ChIJFwJ2tmKPsUcRSNCUq8SIAoo,"HW2R+RM Hamburg, Germany",9F5FHW2R+RM,1.0,4.4,ChIJFwJ2tmKPsUcRSNCUq8SIAoo,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",118,"Große Bergstraße 227, Hamburg"
14,53.5506404,9.960025900000002,53.55198962989273,9.961423829892722,53.54928997010728,9.958724170107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,9b7d38fc07a11db63a977ee223a19ea9d7259ded,Deniz Imbiss - Döner & Pizza,False,"[{'height': 4618, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106210387408726939723/photos"">Thomas Horn</a>'], 'photo_reference': 'CmRaAAAAMdnFomqoBahBDCLI-AQVQezIBJraXJ59shZLkXx0eX2NLJO1Y2j7iLuKD6fUvqDVcN29ombrI0rkwiJYSi7StyDW87uRBiMT7mwTQPTk8-qCjZ8aeeGKLupr0PHawakhEhCKuI0PMVWYCGYQuy3U1PwtGhSfID_4wF1G6K79jBNHRVysRxtRnA', 'width': 3464}]",ChIJ4xm0JW6PsUcR7mZlQqsUP8k,"HX26+72 Hamburg, Germany",9F5FHX26+72,1.0,4.5,ChIJ4xm0JW6PsUcR7mZlQqsUP8k,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",56,"Talstraße 27, Hamburg"
15,53.5675302,9.9802232,53.56890577989272,9.981704629892722,53.56620612010728,9.979004970107278,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,6f65a81a75f1b3f38378f1ff712a4d36c3affa26,Ali's Döner To-Go,False,,ChIJ6ZxpBzmPsUcR-LVONL0_-jw,"HX9J+23 Hamburg, Germany",9F5FHX9J+23,,2.3,ChIJ6ZxpBzmPsUcR-LVONL0_-jw,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",14,"Grindelallee 83, Hamburg"
16,53.55678469999999,10.0105855,53.55815137989271,10.01189692989272,53.55545172010727,10.00919727010728,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,6934393bf08be27f7856f6f4af0786985535d645,Miss Döner,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103336130986619176960/photos"">Jacquie Hansen</a>'], 'photo_reference': 'CmRaAAAAst2T7ZVwq1Gd6eWxT0FvZEYlF5u180odNpVfTlPQfbFpD-Go1QyEkbHX_7b4vdapVlqgdLsJtdlU6lxzGq39NNtrdF8-bZsLWaQhcafH8Oeq0fwytLQ8cPvufBOtCZ06EhCa4UQUi4Sdy7lPXOoTh-WpGhSp7hYhM39m6sJPJKhUATbfuCqoIg', 'width': 3024}]",ChIJEX0bWOeOsUcRI-yv0R7TAYY,"H246+P6 Hamburg, Germany",9F5GH246+P6,1.0,4.2,ChIJEX0bWOeOsUcRI-yv0R7TAYY,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",85,"Carl von Ossietzky Platz 1, Hamburg"
